"作物","栽培形態","月","作業","施肥_種類","N(g)","P(g)","K(g)","施肥基準","施肥_メモ","薬剤"
"キウイフルーツ","鉢植え","1","冬季せん定（結果母枝の更新）。越冬病害虫の防除と資材点検。","","0","0","0","鉢(10号)","","冬季：石灰硫黄合剤等"
"キウイフルーツ","鉢植え","2","植え替え・鉢増し可。主幹・側枝の骨格を見直し。元肥は控えめに。","緩効性・有機配合・置き肥・少量","2","2","2","鉢(10号)","",""
"キウイフルーツ","鉢植え","3","萌芽期。新梢伸長の誘引準備・遅霜対策。","","0","0","0","鉢(10号)","遅霜リスクの高い朝は不織布で保護。",""
"キウイフルーツ","鉢植え","4","開花前管理（新梢整理・誘引）。必要に応じ人工授粉の準備。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","5","開花〜結実。結実過多は摘果で調整。軽い追肥で樹勢維持。","緩効性・置き肥・少量","2","1","2","鉢(10号)","",""
"キウイフルーツ","鉢植え","6","果実肥大。水分はやや多めに。病害虫はモニタリング中心。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","7","高温期の灌水・遮光（必要時）。枝のからまりを解消。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","8","成熟前管理。鳥害対策。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","9","収穫〜追熟管理（品種により前後）。収穫後にK主体で回復。","速効性・追肥（硫酸カリ等）","0","0","3","鉢(10号)","",""
"キウイフルーツ","鉢植え","10","落葉前の衛生管理。軽い整枝。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","11","落葉・病葉除去。防寒準備。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","12","休眠・防寒管理。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","1","休眠期の剪定（古枝・込み合いの整理）。酸性マルチを補充。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","2","植え替え・鉢増し適期（酸性用土に更新）。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","3","芽動きに合わせて元肥（酸性土壌用の緩効性）を少量。","緩効性・酸性土壌用・置き肥（10-8-8相当）・少量","3","2","2","鉢(10号)","低Cl配合を選ぶ。","マシン油乳剤（越冬害虫）"
"ブルーベリー","鉢植え","4","新梢伸長の誘引。開花期の乾燥・寒波対策。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","5","結実・肥大初期。軽い追肥で樹勢維持。鳥害対策。","緩効性・酸性土壌用・置き肥・少量","2","1","2","鉢(10号)","","保護殺菌剤（灰色かび等）"
"ブルーベリー","鉢植え","6","果実肥大と着色。水切れ厳禁。","","0","0","0","鉢(10号)","","スリップス：選択性殺虫剤／うどんこ：硫黄系"
"ブルーベリー","鉢植え","7","収穫期（品種により前後）。過熟果はこまめに収穫。","","0","0","0","鉢(10号)","","ハダニ：ダニ剤"
"ブルーベリー","鉢植え","8","引き続き収穫。収穫後は回復重視で水管理。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","9","秋の充実にカリ主体の施肥（少量）。","速効性・低Cl・追肥（硫酸カリ等）","0","0","3","鉢(10号)","窒素は与えない。",""
"ブルーベリー","鉢植え","10","落葉準備。病葉・虫葉の除去と衛生管理。","","0","0","0","鉢(10号)","","保護殺菌剤（斑点・炭疽）"
"ブルーベリー","鉢植え","11","休眠入り前の整枝。防寒の準備（株元マルチ増量）。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","12","休眠期の管理。用土のpH点検と資材整理。","","0","0","0","鉢(10号)","",""
